SIPP,PickupDateFrom,PickupLocationCode,Duration,CurrentSellPrice,Netrate
CWMR,3/09/2023,Porto Airport,11,26.24,18
CWMR,3/09/2023,Porto Airport,14,26.58,18
CWMR,3/09/2023,Porto Airport,5,30.71,17.5
CWMR,3/09/2023,Porto Airport,13,26.24,18
CWMR,3/09/2023,Porto Airport,31,26.58,24.3
CWMR,3/09/2023,Porto Airport,18,26.58,23
CWMR,3/09/2023,Porto Airport,19,26.58,23
CWMR,3/09/2023,Porto Airport,20,26.58,23
CWMR,3/09/2023,Porto Airport,27,26.58,22.3
CWMR,3/09/2023,Porto Airport,26,26.58,22.3
CWMR,3/09/2023,Porto Airport,1,53.56,22
CWMR,3/09/2023,Porto Airport,3,34.16,22
CWMR,3/09/2023,Porto Airport,29,26.58,24.3
CWMR,3/09/2023,Porto Airport,12,26.24,18
CWMR,3/09/2023,Porto Airport,17,26.58,23
DDMR,6/09/2023,Porto Airport,1,30.23,12.8
CGMR,4/09/2023,Porto Airport,4,19.81,13.3
CGMR,4/09/2023,Porto Airport,11,17.92,13.8
CGMR,4/09/2023,Porto Airport,3,19.81,13.4
CGMR,4/09/2023,Porto Airport,6,21.96,13.3
CGMR,4/09/2023,Porto Airport,16,17.71,15.8
CGMR,4/09/2023,Porto Airport,25,17.71,17.3
HDMR,3/09/2023,Porto Airport,13,14.43,7
HDMR,3/09/2023,Porto Airport,6,16.76,7.5
HDMR,3/09/2023,Porto Airport,26,14.79,9.3
HDMR,3/09/2023,Porto Airport,20,14.79,8.8
HDMR,3/09/2023,Porto Airport,28,14.79,12.8
HDMR,3/09/2023,Porto Airport,15,14.79,8.8
HDMR,3/09/2023,Porto Airport,4,17.38,7.5
HDMR,3/09/2023,Porto Airport,18,14.79,8.8
HDMR,3/09/2023,Porto Airport,11,14.43,7
HDMR,3/09/2023,Porto Airport,27,14.79,9.3
HDMR,3/09/2023,Porto Airport,8,14.43,7
HDMR,3/09/2023,Porto Airport,5,16.76,7.5
HDMR,3/09/2023,Porto Airport,14,14.79,7
