car_class,price_change,from_day,to_day,pick_up_month
F-Compact Automatic-CDAR (Nissan Tiida),-10,4,4,September
A-Mini Manual-MDMR (Citroen C1),-10,4,4,October
B-Economy Manual-ECMR (Mazda2),-10,4,4,October
C-Compact Manual-CDMR (Nissan Tiida),-10,4,4,October
N-MINI+Automatic-MDAR (Chevrolet Spark),-10,4,4,October
H-Economy Automatic-EDAR (Nissan Micra),-10,4,4,October
F-Compact Automatic-CDAR (Nissan Tiida),-10,4,4,October
A-Mini Manual-MDMR (Citroen C1),-10,4,4,November
B-Economy Manual-ECMR (Mazda2),-10,4,4,November
C-Compact Manual-CDMR (Nissan Tiida),-10,4,4,November
N-MINI+Automatic-MDAR (Chevrolet Spark),-10,4,4,November
H-Economy Automatic-EDAR (Nissan Micra),-10,4,4,November
F-Compact Automatic-CDAR (Nissan Tiida),-10,4,4,November
A-Mini Manual-MDMR (Citroen C1),-10,4,4,December
B-Economy Manual-ECMR (Mazda2),-10,4,4,December
C-Compact Manual-CDMR (Nissan Tiida),-10,4,4,December
N-MINI+Automatic-MDAR (Chevrolet Spark),-10,4,4,December
H-Economy Automatic-EDAR (Nissan Micra),-10,4,4,December
F-Compact Automatic-CDAR (Nissan Tiida),-10,4,4,December
A-Mini Manual-MDMR (Citroen C1),10,5,5,January
B-Economy Manual-ECMR (Mazda2),10,5,5,January
C-Compact Manual-CDMR (Nissan Tiida),10,5,5,January
N-MINI+Automatic-MDAR (Chevrolet Spark),10,5,5,January
H-Economy Automatic-EDAR (Nissan Micra),10,5,5,January
F-Compact Automatic-CDAR (Nissan Tiida),10,5,5,January
A-Mini Manual-MDMR (Citroen C1),10,5,5,February
B-Economy Manual-ECMR (Mazda2),10,5,5,February
C-Compact Manual-CDMR (Nissan Tiida),10,5,5,February
N-MINI+Automatic-MDAR (Chevrolet Spark),10,5,5,February
H-Economy Automatic-EDAR (Nissan Micra),10,5,5,February
F-Compact Automatic-CDAR (Nissan Tiida),10,5,5,February
A-Mini Manual-MDMR (Citroen C1),10,5,5,March
B-Economy Manual-ECMR (Mazda2),10,5,5,March
C-Compact Manual-CDMR (Nissan Tiida),10,5,5,March
N-MINI+Automatic-MDAR (Chevrolet Spark),10,5,5,March
H-Economy Automatic-EDAR (Nissan Micra),10,5,5,March
F-Compact Automatic-CDAR (Nissan Tiida),10,5,5,March
A-Mini Manual-MDMR (Citroen C1),10,5,5,April
B-Economy Manual-ECMR (Mazda2),10,5,5,April
C-Compact Manual-CDMR (Nissan Tiida),10,5,5,April
N-MINI+Automatic-MDAR (Chevrolet Spark),10,5,5,April
H-Economy Automatic-EDAR (Nissan Micra),10,5,5,April
F-Compact Automatic-CDAR (Nissan Tiida),10,5,5,April
A-Mini Manual-MDMR (Citroen C1),10,5,5,May
